effect_fraction,model_rmse_t_ha,baseline_rmse_t_ha,delta_rmse_t_ha,absolute_improvement_t_ha,estimated_power,outer_replicates,inner_replicates,year_blocks
0.0,0.6686455716705484,0.6740646712450391,-0.0054190995744907156,0.0054190995744907156,0.154,1000,1000,10
0.001,0.6679769260988778,0.6740646712450391,-0.006087745146161283,0.006087745146161283,0.174,1000,1000,10
0.002,0.6673082805272073,0.6740646712450391,-0.0067563907178318505,0.0067563907178318505,0.191,1000,1000,10
0.003,0.6666396349555367,0.6740646712450391,-0.007425036289502418,0.007425036289502418,0.209,1000,1000,10
0.004,0.6659709893838662,0.6740646712450391,-0.008093681861172874,0.008093681861172874,0.238,1000,1000,10
0.005,0.6653023438121957,0.6740646712450391,-0.008762327432843442,0.008762327432843442,0.259,1000,1000,10
0.006,0.6646336982405251,0.6740646712450391,-0.00943097300451401,0.00943097300451401,0.295,1000,1000,10
0.007,0.6639650526688545,0.6740646712450391,-0.010099618576184577,0.010099618576184577,0.329,1000,1000,10
0.008,0.6632964070971841,0.6740646712450391,-0.010768264147855033,0.010768264147855033,0.363,1000,1000,10
0.009,0.6626277615255135,0.6740646712450391,-0.011436909719525601,0.011436909719525601,0.404,1000,1000,10
0.01,0.6619591159538429,0.6740646712450391,-0.012105555291196168,0.012105555291196168,0.439,1000,1000,10
0.011,0.6612904703821724,0.6740646712450391,-0.012774200862866736,0.012774200862866736,0.485,1000,1000,10
0.012,0.6606218248105018,0.6740646712450391,-0.013442846434537303,0.013442846434537303,0.518,1000,1000,10
0.013,0.6599531792388313,0.6740646712450391,-0.01411149200620776,0.01411149200620776,0.546,1000,1000,10
0.014,0.6592845336671607,0.6740646712450391,-0.014780137577878438,0.014780137577878438,0.572,1000,1000,10
0.015,0.6586158880954902,0.6740646712450391,-0.015448783149548895,0.015448783149548895,0.613,1000,1000,10
0.016,0.6579472425238196,0.6740646712450391,-0.016117428721219462,0.016117428721219462,0.646,1000,1000,10
0.017,0.6572785969521491,0.6740646712450391,-0.01678607429289003,0.01678607429289003,0.684,1000,1000,10
0.018,0.6566099513804785,0.6740646712450391,-0.017454719864560597,0.017454719864560597,0.727,1000,1000,10
0.019,0.655941305808808,0.6740646712450391,-0.018123365436231054,0.018123365436231054,0.763,1000,1000,10
0.02,0.6552726602371375,0.6740646712450391,-0.01879201100790162,0.01879201100790162,0.794,1000,1000,10
0.021,0.6546040146654669,0.6740646712450391,-0.01946065657957219,0.01946065657957219,0.822,1000,1000,10
0.022,0.6539353690937963,0.6740646712450391,-0.020129302151242756,0.020129302151242756,0.849,1000,1000,10
0.023,0.6532667235221258,0.6740646712450391,-0.020797947722913324,0.020797947722913324,0.868,1000,1000,10
0.024,0.6525980779504552,0.6740646712450391,-0.02146659329458389,0.02146659329458389,0.887,1000,1000,10
0.025,0.6519294323787848,0.6740646712450391,-0.022135238866254348,0.022135238866254348,0.905,1000,1000,10
0.026,0.6512607868071141,0.6740646712450391,-0.022803884437925026,0.022803884437925026,0.927,1000,1000,10
0.027,0.6505921412354435,0.6740646712450391,-0.023472530009595594,0.023472530009595594,0.945,1000,1000,10
0.028,0.649923495663773,0.6740646712450391,-0.02414117558126605,0.02414117558126605,0.958,1000,1000,10
0.029,0.6492548500921025,0.6740646712450391,-0.024809821152936617,0.024809821152936617,0.966,1000,1000,10
0.03,0.6485862045204319,0.6740646712450391,-0.025478466724607185,0.025478466724607185,0.977,1000,1000,10
0.031,0.6479175589487614,0.6740646712450391,-0.026147112296277752,0.026147112296277752,0.981,1000,1000,10
0.032,0.6472489133770908,0.6740646712450391,-0.02681575786794832,0.02681575786794832,0.987,1000,1000,10
0.033,0.6465802678054203,0.6740646712450391,-0.027484403439618776,0.027484403439618776,0.993,1000,1000,10
0.034,0.6459116222337498,0.6740646712450391,-0.028153049011289344,0.028153049011289344,0.998,1000,1000,10
0.035,0.6452429766620792,0.6740646712450391,-0.02882169458295991,0.02882169458295991,0.999,1000,1000,10
0.036,0.6445743310904087,0.6740646712450391,-0.029490340154630368,0.029490340154630368,1.0,1000,1000,10
0.037,0.6439056855187382,0.6740646712450391,-0.030158985726300935,0.030158985726300935,1.0,1000,1000,10
0.038,0.6432370399470676,0.6740646712450391,-0.030827631297971503,0.030827631297971503,1.0,1000,1000,10
0.039,0.642568394375397,0.6740646712450391,-0.03149627686964207,0.03149627686964207,1.0,1000,1000,10
