requirement,status,evidence
arms_16,PASS,artifacts/extensions/v1/QA_REPORT.json
model_cells_80,PASS,artifacts/extensions/v1/QA_REPORT.json
pipelines_240,PASS,artifacts/extensions/v1/QA_REPORT.json
inner_jobs_34560,PASS,artifacts/extensions/v1/QA_REPORT.json
outer_jobs_4896,PASS,artifacts/extensions/v1/QA_REPORT.json
benchmark_jobs_1728,PASS,artifacts/extensions/v1/QA_REPORT.json
benchmark_no_future_access,PASS,artifacts/extensions/v1/QA_REPORT.json
inner_no_future_access,PASS,artifacts/extensions/v1/QA_REPORT.json
outer_no_future_access,PASS,artifacts/extensions/v1/QA_REPORT.json
selected_configs_1440,PASS,artifacts/extensions/v1/QA_REPORT.json
module_rows_240,PASS,artifacts/extensions/v1/QA_REPORT.json
stage_manifests_12,PASS,artifacts/extensions/v1/QA_REPORT.json
outer_prediction_columns,PASS,artifacts/extensions/v1/QA_REPORT.json
outer_six_folds,PASS,artifacts/extensions/v1/QA_REPORT.json
outer_no_missing_numeric,PASS,artifacts/extensions/v1/QA_REPORT.json
winner_locked,PASS,artifacts/extensions/v1/QA_REPORT.json
winner_rank_count,PASS,artifacts/extensions/v1/QA_REPORT.json
semi_rows_28800,PASS,artifacts/extensions/v1/QA_REPORT.json
semi_base_fits_9600,PASS,artifacts/extensions/v1/QA_REPORT.json
semi_30_seeds,PASS,artifacts/extensions/v1/QA_REPORT.json
semi_gt_not_input,PASS,artifacts/extensions/v1/QA_REPORT.json
pjm_scenarios_600,PASS,artifacts/extensions/v1/QA_REPORT.json
pjm_curve_20,PASS,artifacts/extensions/v1/QA_REPORT.json
pjm_30_seeds_each,PASS,artifacts/extensions/v1/QA_REPORT.json
pjm_lambda_zero_invariant,PASS,artifacts/extensions/v1/QA_REPORT.json
external_not_in_winner_lock,PASS,artifacts/extensions/v1/QA_REPORT.json
report_written,PASS,reports/extension_factorial_results.md
work_log_written,PASS,reports/extension_factorial_work_log.md
figures_code_generated,PASS,scripts/build_extension_factorial_release.py
frozen_kse_not_written_by_extension,PASS,extension scripts contain no KSE paper write target
