mechanism,level,mean_delta_rmse_b,sd_delta_rmse_b,module_a_pass_probability,module_b_pass_probability,seeds
dropout,0.0,-145219.18341686676,0.0,1.0,1.0,30
dropout,0.1,-108363.37372959606,14264.177079648402,1.0,1.0,30
dropout,0.25,-79802.7445504302,12491.0583365252,1.0,1.0,30
dropout,0.5,-36804.68143359744,9828.646604582247,1.0,1.0,30
dropout,0.75,-9340.132685092405,4619.012424893995,1.0,0.8666666666666667,30
lag_substitution,0.0,-145219.18341686676,0.0,1.0,1.0,30
lag_substitution,1.0,-97824.09045929331,0.0,1.0,1.0,30
lag_substitution,2.0,-34041.05842796681,0.0,1.0,1.0,30
lag_substitution,7.0,7565.63018043412,0.0,1.0,0.0,30
noise,0.0,-145219.18341686676,0.0,1.0,1.0,30
noise,0.25,-114205.27954986668,9372.042307194231,1.0,1.0,30
noise,0.5,-66939.27469775535,12060.574537741162,1.0,1.0,30
noise,1.0,-21108.472512541106,8355.239648560655,1.0,0.8333333333333334,30
noise,2.0,-5354.91041792275,4276.941527026433,1.0,0.5,30
permutation_mix,0.0,-145219.18341686676,0.0,1.0,1.0,30
permutation_mix,0.1,-144136.55048013286,3226.9120906140483,1.0,1.0,30
permutation_mix,0.25,-111401.04857568668,6064.2777289589185,1.0,1.0,30
permutation_mix,0.5,-37086.18587183853,8677.949562549298,1.0,1.0,30
permutation_mix,0.75,-9596.001949840318,5093.649671024306,1.0,0.9,30
permutation_mix,1.0,-5004.988082014289,3598.886850051465,1.0,0.8333333333333334,30
