mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.0,0,159,92,-252838.79542696197,-145219.18341686676,-216371.16257855823,-112840.86779179616,True,True
permutation_mix,0.0,1,159,92,-252838.79542696197,-145219.18341686676,-216278.69124119467,-110971.86952102996,True,True
permutation_mix,0.0,2,159,92,-252838.79542696197,-145219.18341686676,-213714.6431438163,-112124.64950146215,True,True
permutation_mix,0.0,3,159,92,-252838.79542696197,-145219.18341686676,-215708.51417045604,-112415.7669898147,True,True
permutation_mix,0.0,4,159,92,-252838.79542696197,-145219.18341686676,-213180.1769728285,-110592.33033212023,True,True
permutation_mix,0.0,5,159,92,-252838.79542696197,-145219.18341686676,-215226.0209962073,-110046.96204419034,True,True
permutation_mix,0.0,6,159,92,-252838.79542696197,-145219.18341686676,-213259.98143754475,-110676.81230988364,True,True
permutation_mix,0.0,7,159,92,-252838.79542696197,-145219.18341686676,-215438.64824164938,-112977.87069946165,True,True
permutation_mix,0.0,8,159,92,-252838.79542696197,-145219.18341686676,-215970.8588102419,-112451.70748986748,True,True
permutation_mix,0.0,9,159,92,-252838.79542696197,-145219.18341686676,-214080.9296546754,-110281.95879154597,True,True
permutation_mix,0.0,10,159,92,-252838.79542696197,-145219.18341686676,-214379.5944826625,-109780.98942358705,True,True
permutation_mix,0.0,11,159,92,-252838.79542696197,-145219.18341686676,-215789.1791327186,-111383.13215875726,True,True
permutation_mix,0.0,12,159,92,-252838.79542696197,-145219.18341686676,-213858.56797395417,-111281.79729812882,True,True
permutation_mix,0.0,13,159,92,-252838.79542696197,-145219.18341686676,-214992.01608476706,-113023.05690108713,True,True
permutation_mix,0.0,14,159,92,-252838.79542696197,-145219.18341686676,-214665.44191539014,-111677.7456010896,True,True
permutation_mix,0.0,15,159,92,-252838.79542696197,-145219.18341686676,-215767.0208522234,-111558.03778987001,True,True
permutation_mix,0.0,16,159,92,-252838.79542696197,-145219.18341686676,-213596.78238821062,-110497.3006325689,True,True
permutation_mix,0.0,17,159,92,-252838.79542696197,-145219.18341686676,-212607.89541329327,-110568.21044439991,True,True
