crop,region,window,boundary1_stage,boundary1_month,boundary1_day,boundary2_stage,boundary2_month,boundary2_day,source_scope,source_complete_years
Wheat,Colorado,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Barley,Colorado,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Colorado,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,Illinois,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Oats,Illinois,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,Iowa,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Oats,Iowa,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,Kansas,winter,JOINTING,4,22,HEADED,5,15,state,33
Barley,Kansas,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Kansas,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,Kansas,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
Wheat,Minnesota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Barley,Minnesota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Minnesota,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,Minnesota,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
Wheat,Montana,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Barley,Montana,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Montana,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,Montana,spring,BLOOMING,7,7,COLORING,7,29,state,12
Wheat,Nebraska,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Barley,Nebraska,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Nebraska,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,North Dakota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Barley,North Dakota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,North Dakota,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,North Dakota,spring,BLOOMING,7,6,COLORING,8,3,state,12
Wheat,Oklahoma,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Barley,Oklahoma,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Oklahoma,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,Oklahoma,spring,BLOOMING,4,20,COLORING,5,26,state,12
Wheat,South Dakota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Barley,South Dakota,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,South Dakota,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,Texas,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Barley,Texas,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Texas,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Wheat,Washington,winter,JOINTING,4,24,HEADED,5,16,crop-season fallback,38
Barley,Washington,spring,JOINTING,6,29,HEADED,7,13,crop-season fallback,3
Oats,Washington,spring,JOINTING,6,15,HEADED,6,22,crop-season fallback,5
Canola,Washington,spring,BLOOMING,7,1,COLORING,7,29,crop-season fallback,36
