source_desc,sector_desc,group_desc,commodity_desc,class_desc,prodn_practice_desc,util_practice_desc,statisticcat_desc,unit_desc,short_desc,domain_desc,agg_level_desc,state_name,state_alpha,year,week_ending,Value,CV (%)
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-06-22,0,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-06-29,6,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-07-06,10,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-07-13,15,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-07-20,19,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-07-27,45,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-08-03,73,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-08-10,88,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT COLORING,"BARLEY - PROGRESS, MEASURED IN PCT COLORING",TOTAL,STATE,COLORADO,CO,2014,2014-08-17,98,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-04-06,1,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-04-13,3,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-04-20,5,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-04-27,29,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-05-04,41,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-05-11,59,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-05-18,70,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-05-25,91,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-06-01,97,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT EMERGED,"BARLEY - PROGRESS, MEASURED IN PCT EMERGED",TOTAL,STATE,COLORADO,CO,2014,2014-06-08,99,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-07-20,2,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-07-27,16,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-08-03,28,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-08-10,45,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-08-17,56,
SURVEY,CROPS,FIELD CROPS,BARLEY,ALL CLASSES,ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,PROGRESS,PCT HARVESTED,"BARLEY - PROGRESS, MEASURED IN PCT HARVESTED",TOTAL,STATE,COLORADO,CO,2014,2014-08-24,65,
